english,portuguese,level,category,grammar_points
I go to work by walk.,Eu vou para o trabalho de a pé.,A1,transport,"[""present simple"", ""by + transport""]"
Do you go to downtown by bike?,Você vai ao o centro de bicicleta?,A1,conversation,"[""present simple questions""]"
I go to the hardware store at 1:00 p.m. on Thursday.,Eu vou à loja de ferragens às 13:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at noon on Wednesday.,Eu vou à loja de roupas às meio-dia na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 a.m. on Tuesday.,Eu vou à padaria às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
Do you go to the bank by car?,Você vai ao o banco de carro?,A1,conversation,"[""present simple questions""]"
I go to the bakery at 9:00 a.m. on Thursday.,Eu vou à padaria às 9:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at 7:00 p.m. on Friday.,Eu vou à loja de roupas às 19:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I eat breakfast at 8:00 p.m..,Eu faço café da manhã às 20:00.,A1,daily_routine,"[""present simple""]"
I drink soda in the morning.,Eu bebo refrigerante de manhã.,A1,food,"[""present simple""]"
I eat dinner at 8:00 p.m..,Eu faço jantar às 20:00.,A1,daily_routine,"[""present simple""]"
The hardware store is crowded this afternoon.,A loja de ferragens está cheio hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the the supermarket with my parents.,Eu vou ao o supermercado com meus pais.,A1,leisure,"[""present simple""]"
I go to the park on Friday.,Eu vou ao o parque na sexta-feira.,A1,transport,"[""present simple""]"
I pay with credit card at the bookstore.,Eu pago com cartão de crédito na livraria.,A1,shopping,"[""present simple""]"
I buy medicine at the grocery store.,Eu compro remédio na mercado.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 p.m. on Saturday.,Eu vou à padaria às 19:00 na sábado.,A1,shopping,"[""present simple""]"
I want a tea and a sandwich.,Eu quero um chá e sanduíche.,A1,food,"[""present simple""]"
I go to the gas station at 8:00 a.m. on Saturday.,Eu vou à posto de gasolina às 8:00 na sábado.,A1,shopping,"[""present simple""]"
The grocery store is expensive this morning.,A mercado está caro hoje de manhã.,A1,shopping,"[""verb to be""]"
The coffee shop is expensive tonight.,A cafeteria está caro hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the bookstore at 5:00 p.m. on Sunday.,Eu vou à livraria às 17:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the gas station at 9:00 a.m. on Saturday.,Eu vou à posto de gasolina às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the supermarket on Thursday.,Eu vou ao o supermercado na quinta-feira.,A1,transport,"[""present simple""]"
I go to the hardware store at 1:00 p.m. on Monday.,Eu vou à loja de ferragens às 13:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 10:00 a.m. on Monday.,Eu vou à mercado às 10:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the library on Sunday.,Eu vou ao a biblioteca na domingo.,A1,transport,"[""present simple""]"
I go to the grocery store at 5:00 p.m. on Thursday.,Eu vou à mercado às 17:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 10:00 a.m. on Friday.,Eu vou à mercado às 10:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 8:00 a.m. on Friday.,Eu vou à mercado às 8:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the the mall with my brother.,Eu vou ao o shopping com meu irmão.,A1,leisure,"[""present simple""]"
I need paper towels for breakfast.,Eu preciso de papel toalha para o café da manhã.,A1,daily_routine,"[""present simple""]"
I go to the grocery store at noon on Thursday.,Eu vou à mercado às meio-dia na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at noon on Saturday.,Eu vou à loja de ferragens às meio-dia na sábado.,A1,shopping,"[""present simple""]"
The gas station is quiet this afternoon.,A posto de gasolina está tranquilo hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the gas station at 8:00 p.m. on Saturday.,Eu vou à posto de gasolina às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I buy bread at the grocery store.,Eu compro pão na mercado.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 10:00 a.m. on Friday.,Eu vou à cafeteria às 10:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at noon on Friday.,Eu vou à padaria às meio-dia na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 7:00 p.m. on Thursday.,Eu vou à posto de gasolina às 19:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I eat a late snack at 7:00 a.m..,Eu faço um lanche tarde às 7:00.,A1,daily_routine,"[""present simple""]"
I go to the gas station at 8:00 a.m. on Monday.,Eu vou à posto de gasolina às 8:00 na segunda-feira.,A1,shopping,"[""present simple""]"
What time do you wake up on Sunday?,Que horas você acorda na domingo?,A1,daily_routine,"[""present simple"", ""time expressions""]"
I go to the gym on Sunday.,Eu vou ao a academia na domingo.,A1,transport,"[""present simple""]"
I go to the hardware store at 3:00 p.m. on Thursday.,Eu vou à loja de ferragens às 15:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I meet friends every day.,Eu encontrar amigos todos os dias.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the hardware store at 8:00 a.m. on Thursday.,Eu vou à loja de ferragens às 8:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I clean the kitchen after lunch.,Eu limpar a cozinha depois do almoço.,A1,home,"[""present simple""]"
I pay with mobile payment at the grocery store.,Eu pago com pagamento por celular na mercado.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 p.m. on Saturday.,Eu vou à livraria às 19:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the pharmacy on Sunday.,Eu vou ao a farmácia na domingo.,A1,transport,"[""present simple""]"
I go to the the supermarket with my brother.,Eu vou ao o supermercado com meu irmão.,A1,leisure,"[""present simple""]"
I go to the the park with my friend.,Eu vou ao o parque com meu amigo.,A1,leisure,"[""present simple""]"
I eat a late snack at 9:00 a.m..,Eu faço um lanche tarde às 9:00.,A1,daily_routine,"[""present simple""]"
I eat dinner at 7:00 a.m..,Eu faço jantar às 7:00.,A1,daily_routine,"[""present simple""]"
Is it cloudy tonight?,Está nublado hoje à noite?,A1,weather,"[""verb to be""]"
I go to the bookstore at 7:00 a.m. on Tuesday.,Eu vou à livraria às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
I buy batteries at the bakery.,Eu compro pilhas na padaria.,A1,shopping,"[""present simple""]"
I go to the bookstore at 3:00 p.m. on Monday.,Eu vou à livraria às 15:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at noon on Monday.,Eu vou à mercado às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
Do you go to the library by bike?,Você vai ao a biblioteca de bicicleta?,A1,conversation,"[""present simple questions""]"
Do you like tacos?,Você gosta de tacos?,A1,conversation,"[""present simple questions""]"
I eat breakfast at noon.,Eu faço café da manhã às meio-dia.,A1,daily_routine,"[""present simple""]"
I go to the clothing store at noon on Tuesday.,Eu vou à loja de roupas às meio-dia na terça-feira.,A1,shopping,"[""present simple""]"
I go to the office on Monday.,Eu vou ao o escritório na segunda-feira.,A1,transport,"[""present simple""]"
I go to the gas station at 8:00 p.m. on Monday.,Eu vou à posto de gasolina às 20:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 9:00 a.m. on Tuesday.,Eu vou à livraria às 9:00 na terça-feira.,A1,shopping,"[""present simple""]"
I want a coffee and a sandwich.,Eu quero um café e sanduíche.,A1,food,"[""present simple""]"
I go to the gas station at 10:00 a.m. on Sunday.,Eu vou à posto de gasolina às 10:00 na domingo.,A1,shopping,"[""present simple""]"
The hardware store is clean this morning.,A loja de ferragens está limpo hoje de manhã.,A1,shopping,"[""verb to be""]"
The bakery is busy tonight.,A padaria está movimentado hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the drugstore at 9:00 a.m. on Saturday.,Eu vou à farmácia às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the clothing store at 9:00 a.m. on Friday.,Eu vou à loja de roupas às 9:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the bank on Thursday.,Eu vou ao o banco na quinta-feira.,A1,transport,"[""present simple""]"
I go to the bookstore at 6:00 a.m. on Tuesday.,Eu vou à livraria às 6:00 na terça-feira.,A1,shopping,"[""present simple""]"
Do you go to the post office by bus?,Você vai ao os correios de ônibus?,A1,conversation,"[""present simple questions""]"
I go to the grocery store at 3:00 p.m. on Tuesday.,Eu vou à mercado às 15:00 na terça-feira.,A1,shopping,"[""present simple""]"
I eat lunch at 1:00 p.m..,Eu faço almoço às 13:00.,A1,daily_routine,"[""present simple""]"
Do you like grilled chicken?,Você gosta de frango grelhado?,A1,conversation,"[""present simple questions""]"
I buy milk at the drugstore.,Eu compro leite na farmácia.,A1,shopping,"[""present simple""]"
I go to the library on Tuesday.,Eu vou ao a biblioteca na terça-feira.,A1,transport,"[""present simple""]"
The hardware store is expensive this afternoon.,A loja de ferragens está caro hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the bakery at 8:00 p.m. on Tuesday.,Eu vou à padaria às 20:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at noon on Sunday.,Eu vou à livraria às meio-dia na domingo.,A1,shopping,"[""present simple""]"
I go to the bookstore at 6:00 a.m. on Monday.,Eu vou à livraria às 6:00 na segunda-feira.,A1,shopping,"[""present simple""]"
The gas station is crowded this afternoon.,A posto de gasolina está cheio hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the hardware store at noon on Wednesday.,Eu vou à loja de ferragens às meio-dia na quarta-feira.,A1,shopping,"[""present simple""]"
I buy toothpaste at the coffee shop.,Eu compro pasta de dente na cafeteria.,A1,shopping,"[""present simple""]"
I go to the drugstore at 8:00 a.m. on Tuesday.,Eu vou à farmácia às 8:00 na terça-feira.,A1,shopping,"[""present simple""]"
The bakery is clean tonight.,A padaria está limpo hoje à noite.,A1,shopping,"[""verb to be""]"
I buy soap at the grocery store.,Eu compro sabão na mercado.,A1,shopping,"[""present simple""]"
Do you go to the mall by train?,Você vai ao o shopping de trem?,A1,conversation,"[""present simple questions""]"
I go to the drugstore at noon on Saturday.,Eu vou à farmácia às meio-dia na sábado.,A1,shopping,"[""present simple""]"
I go to the bakery at 1:00 p.m. on Wednesday.,Eu vou à padaria às 13:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the park on Saturday.,Eu vou ao o parque na sábado.,A1,transport,"[""present simple""]"
I go to the bookstore at 8:00 p.m. on Monday.,Eu vou à livraria às 20:00 na segunda-feira.,A1,shopping,"[""present simple""]"
Do you go to the gym by train?,Você vai ao a academia de trem?,A1,conversation,"[""present simple questions""]"
I watch a movie on weekends.,Eu assistir a um filme nos fins de semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the clothing store at 7:00 p.m. on Saturday.,Eu vou à loja de roupas às 19:00 na sábado.,A1,shopping,"[""present simple""]"
I want a water and a burgers.,Eu quero um água e hambúrgueres.,A1,food,"[""present simple""]"
I pay with cash at the hardware store.,Eu pago com dinheiro na loja de ferragens.,A1,shopping,"[""present simple""]"
I go to the coffee shop at noon on Thursday.,Eu vou à cafeteria às meio-dia na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at 9:00 a.m. on Tuesday.,Eu vou à loja de ferragens às 9:00 na terça-feira.,A1,shopping,"[""present simple""]"
I eat lunch at 9:00 a.m..,Eu faço almoço às 9:00.,A1,daily_routine,"[""present simple""]"
I like to watch a movie.,Eu gosto de assistir a um filme.,A1,leisure,"[""like + to-infinitive""]"
I live in Miami.,Eu moro em Miami.,A1,personal_info,"[""verb to be""]"
I go to downtown on Sunday.,Eu vou ao o centro na domingo.,A1,transport,"[""present simple""]"
I go to the drugstore at 9:00 a.m. on Friday.,Eu vou à farmácia às 9:00 na sexta-feira.,A1,shopping,"[""present simple""]"
The coffee shop is clean tonight.,A cafeteria está limpo hoje à noite.,A1,shopping,"[""verb to be""]"
I want a coffee and a burgers.,Eu quero um café e hambúrgueres.,A1,food,"[""present simple""]"
I go to the bakery at 5:00 p.m. on Thursday.,Eu vou à padaria às 17:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I need paper towels for dinner.,Eu preciso de papel toalha para o jantar.,A1,daily_routine,"[""present simple""]"
I go to the clothing store at 6:00 a.m. on Monday.,Eu vou à loja de roupas às 6:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 5:00 p.m. on Monday.,Eu vou à padaria às 17:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 10:00 a.m. on Sunday.,Eu vou à padaria às 10:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the drugstore at 10:00 a.m. on Friday.,Eu vou à farmácia às 10:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I watch a movie three times a week.,Eu assistir a um filme três vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the post office on Monday.,Eu vou ao os correios na segunda-feira.,A1,transport,"[""present simple""]"
I eat dinner at 7:00 p.m..,Eu faço jantar às 19:00.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 9:00 a.m. on Friday.,Eu vou à cafeteria às 9:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I eat lunch at 10:00 a.m..,Eu faço almoço às 10:00.,A1,daily_routine,"[""present simple""]"
I go to the gas station at 10:00 a.m. on Wednesday.,Eu vou à posto de gasolina às 10:00 na quarta-feira.,A1,shopping,"[""present simple""]"
Do you go to the gym by ride-share?,Você vai ao a academia de carro por aplicativo?,A1,conversation,"[""present simple questions""]"
I buy shampoo at the drugstore.,Eu compro shampoo na farmácia.,A1,shopping,"[""present simple""]"
I go to the clothing store at 9:00 a.m. on Wednesday.,Eu vou à loja de roupas às 9:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 9:00 a.m. on Saturday.,Eu vou à livraria às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the clothing store at 10:00 a.m. on Monday.,Eu vou à loja de roupas às 10:00 na segunda-feira.,A1,shopping,"[""present simple""]"
Do you like pasta?,Você gosta de macarrão?,A1,conversation,"[""present simple questions""]"
I go to the coffee shop at 8:00 a.m. on Wednesday.,Eu vou à cafeteria às 8:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the gym on Wednesday.,Eu vou ao a academia na quarta-feira.,A1,transport,"[""present simple""]"
I go to the clothing store at 1:00 p.m. on Thursday.,Eu vou à loja de roupas às 13:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 6:00 a.m. on Friday.,Eu vou à cafeteria às 6:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 8:00 a.m. on Tuesday.,Eu vou à cafeteria às 8:00 na terça-feira.,A1,shopping,"[""present simple""]"
I read a book on weekends.,Eu ler um livro nos fins de semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the clothing store at 7:00 a.m. on Tuesday.,Eu vou à loja de roupas às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 9:00 a.m. on Saturday.,Eu vou à mercado às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I need batteries for lunch.,Eu preciso de pilhas para o almoço.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 5:00 p.m. on Friday.,Eu vou à cafeteria às 17:00 na sexta-feira.,A1,shopping,"[""present simple""]"
Do you go to the post office by bike?,Você vai ao os correios de bicicleta?,A1,conversation,"[""present simple questions""]"
I go grocery shopping three times a week.,Eu fazer compras três vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I do the laundry after breakfast.,Eu lavar roupa depois do café da manhã.,A1,home,"[""present simple""]"
I go to the drugstore at noon on Thursday.,Eu vou à farmácia às meio-dia na quinta-feira.,A1,shopping,"[""present simple""]"
I buy medicine at the drugstore.,Eu compro remédio na farmácia.,A1,shopping,"[""present simple""]"
I go to the office on Friday.,Eu vou ao o escritório na sexta-feira.,A1,transport,"[""present simple""]"
I go to the drugstore at 9:00 a.m. on Sunday.,Eu vou à farmácia às 9:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the hardware store at 8:00 a.m. on Wednesday.,Eu vou à loja de ferragens às 8:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at noon on Monday.,Eu vou à farmácia às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
I eat lunch at 7:00 a.m..,Eu faço almoço às 7:00.,A1,daily_routine,"[""present simple""]"
I go to the bakery at noon on Monday.,Eu vou à padaria às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
I drink soda this morning.,Eu bebo refrigerante hoje de manhã.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 8:00 p.m. on Monday.,Eu vou à cafeteria às 20:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at 8:00 p.m. on Friday.,Eu vou à loja de roupas às 20:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 10:00 a.m. on Friday.,Eu vou à livraria às 10:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 3:00 p.m. on Saturday.,Eu vou à mercado às 15:00 na sábado.,A1,shopping,"[""present simple""]"
I buy soap at the bakery.,Eu compro sabão na padaria.,A1,shopping,"[""present simple""]"
Do you go to the supermarket by subway?,Você vai ao o supermercado de metrô?,A1,conversation,"[""present simple questions""]"
I go to the the park with my sister.,Eu vou ao o parque com minha irmã.,A1,leisure,"[""present simple""]"
I need milk for dinner.,Eu preciso de leite para o jantar.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at 3:00 p.m. on Monday.,Eu vou à loja de ferragens às 15:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 1:00 p.m. on Wednesday.,Eu vou à livraria às 13:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I mop the floor after lunch.,Eu passar pano no chão depois do almoço.,A1,home,"[""present simple""]"
I buy tickets at the grocery store.,Eu compro ingressos na mercado.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 3:00 p.m. on Saturday.,Eu vou à cafeteria às 15:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the bakery at 10:00 a.m. on Monday.,Eu vou à padaria às 10:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I pay with debit card at the grocery store.,Eu pago com cartão de débito na mercado.,A1,shopping,"[""present simple""]"
I go to the clothing store at 1:00 p.m. on Wednesday.,Eu vou à loja de roupas às 13:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Tuesday.,Eu vou à posto de gasolina às 15:00 na terça-feira.,A1,shopping,"[""present simple""]"
The grocery store is busy tonight.,A mercado está movimentado hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the clothing store at 8:00 p.m. on Saturday.,Eu vou à loja de roupas às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the drugstore at 7:00 a.m. on Friday.,Eu vou à farmácia às 7:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to work by train.,Eu vou para o trabalho de trem.,A1,transport,"[""present simple"", ""by + transport""]"
I need soap for lunch.,Eu preciso de sabão para o almoço.,A1,daily_routine,"[""present simple""]"
I buy eggs at the hardware store.,Eu compro ovos na loja de ferragens.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 p.m. on Tuesday.,Eu vou à livraria às 19:00 na terça-feira.,A1,shopping,"[""present simple""]"
I want a coffee and a pizza.,Eu quero um café e pizza.,A1,food,"[""present simple""]"
Do you go to the library by subway?,Você vai ao a biblioteca de metrô?,A1,conversation,"[""present simple questions""]"
I go to the grocery store at 8:00 a.m. on Saturday.,Eu vou à mercado às 8:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the drugstore at 7:00 p.m. on Saturday.,Eu vou à farmácia às 19:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the drugstore at 5:00 p.m. on Monday.,Eu vou à farmácia às 17:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at 5:00 p.m. on Wednesday.,Eu vou à farmácia às 17:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I want a tea and a grilled chicken.,Eu quero um chá e frango grelhado.,A1,food,"[""present simple""]"
I go grocery shopping every day.,Eu fazer compras todos os dias.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the hardware store at 8:00 a.m. on Friday.,Eu vou à loja de ferragens às 8:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I work out three times a week.,Eu treinar três vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the hardware store at 7:00 a.m. on Sunday.,Eu vou à loja de ferragens às 7:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the grocery store at 6:00 a.m. on Wednesday.,Eu vou à mercado às 6:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the the gym with my sister.,Eu vou ao a academia com minha irmã.,A1,leisure,"[""present simple""]"
I go to the clothing store at 7:00 p.m. on Tuesday.,Eu vou à loja de roupas às 19:00 na terça-feira.,A1,shopping,"[""present simple""]"
I buy bread at the coffee shop.,Eu compro pão na cafeteria.,A1,shopping,"[""present simple""]"
I go to the grocery store at 8:00 p.m. on Saturday.,Eu vou à mercado às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 a.m. on Friday.,Eu vou à padaria às 7:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the post office on Wednesday.,Eu vou ao os correios na quarta-feira.,A1,transport,"[""present simple""]"
Is the clothing store open today?,A loja de roupas está aberta hoje?,A1,conversation,"[""present simple questions""]"
The clothing store is expensive this afternoon.,A loja de roupas está caro hoje à tarde.,A1,shopping,"[""verb to be""]"
I drink coffee in the morning.,Eu bebo café de manhã.,A1,food,"[""present simple""]"
I go to the hardware store at 5:00 p.m. on Monday.,Eu vou à loja de ferragens às 17:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I mop the floor after a late snack.,Eu passar pano no chão depois do um lanche tarde.,A1,home,"[""present simple""]"
It is cloudy today.,Hoje está nublado.,A1,weather,"[""verb to be""]"
I drink water this morning.,Eu bebo água hoje de manhã.,A1,daily_routine,"[""present simple""]"
I buy tickets at the bakery.,Eu compro ingressos na padaria.,A1,shopping,"[""present simple""]"
I live in Dallas.,Eu moro em Dallas.,A1,personal_info,"[""verb to be""]"
I like to cook at home.,Eu gosto de cozinhar em casa.,A1,leisure,"[""like + to-infinitive""]"
I need tickets for a late snack.,Eu preciso de ingressos para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I buy tickets at the hardware store.,Eu compro ingressos na loja de ferragens.,A1,shopping,"[""present simple""]"
I go to the bookstore at 10:00 a.m. on Wednesday.,Eu vou à livraria às 10:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I want a soda and a sushi.,Eu quero um refrigerante e sushi.,A1,food,"[""present simple""]"
I go to the drugstore at 7:00 p.m. on Sunday.,Eu vou à farmácia às 19:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the clothing store at 8:00 p.m. on Monday.,Eu vou à loja de roupas às 20:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 8:00 a.m. on Thursday.,Eu vou à cafeteria às 8:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the clothing store at 7:00 a.m. on Sunday.,Eu vou à loja de roupas às 7:00 na domingo.,A1,shopping,"[""present simple""]"
The gas station is cheap this morning.,A posto de gasolina está barato hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the office on Thursday.,Eu vou ao o escritório na quinta-feira.,A1,transport,"[""present simple""]"
I buy tickets at the gas station.,Eu compro ingressos na posto de gasolina.,A1,shopping,"[""present simple""]"
I go to the gas station at noon on Monday.,Eu vou à posto de gasolina às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 9:00 a.m. on Wednesday.,Eu vou à livraria às 9:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the the supermarket with my friend.,Eu vou ao o supermercado com meu amigo.,A1,leisure,"[""present simple""]"
The coffee shop is crowded this morning.,A cafeteria está cheio hoje de manhã.,A1,shopping,"[""verb to be""]"
The clothing store is crowded this morning.,A loja de roupas está cheio hoje de manhã.,A1,shopping,"[""verb to be""]"
I eat lunch at 7:00 p.m..,Eu faço almoço às 19:00.,A1,daily_routine,"[""present simple""]"
I go to the bakery at 7:00 p.m. on Tuesday.,Eu vou à padaria às 19:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the post office on Tuesday.,Eu vou ao os correios na terça-feira.,A1,transport,"[""present simple""]"
I go to the office on Wednesday.,Eu vou ao o escritório na quarta-feira.,A1,transport,"[""present simple""]"
I go to the hardware store at 7:00 a.m. on Saturday.,Eu vou à loja de ferragens às 7:00 na sábado.,A1,shopping,"[""present simple""]"
I take out the trash after a late snack.,Eu tirar o lixo depois do um lanche tarde.,A1,home,"[""present simple""]"
I go to the drugstore at 7:00 p.m. on Monday.,Eu vou à farmácia às 19:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at noon on Saturday.,Eu vou à mercado às meio-dia na sábado.,A1,shopping,"[""present simple""]"
I go to the the bank with my sister.,Eu vou ao o banco com minha irmã.,A1,leisure,"[""present simple""]"
I go to the bookstore at 5:00 p.m. on Friday.,Eu vou à livraria às 17:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 3:00 p.m. on Friday.,Eu vou à cafeteria às 15:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I like to read a book.,Eu gosto de ler um livro.,A1,leisure,"[""like + to-infinitive""]"
I go to the drugstore at 6:00 a.m. on Thursday.,Eu vou à farmácia às 6:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 6:00 a.m. on Tuesday.,Eu vou à cafeteria às 6:00 na terça-feira.,A1,shopping,"[""present simple""]"
Do you go to the bank by train?,Você vai ao o banco de trem?,A1,conversation,"[""present simple questions""]"
I go to the coffee shop at 10:00 a.m. on Saturday.,Eu vou à cafeteria às 10:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the bakery at 8:00 p.m. on Thursday.,Eu vou à padaria às 20:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at 7:00 p.m. on Saturday.,Eu vou à loja de ferragens às 19:00 na sábado.,A1,shopping,"[""present simple""]"
I eat a late snack at 3:00 p.m..,Eu faço um lanche tarde às 15:00.,A1,daily_routine,"[""present simple""]"
The gas station is crowded this morning.,A posto de gasolina está cheio hoje de manhã.,A1,shopping,"[""verb to be""]"
Do you go to the mall by walk?,Você vai ao o shopping de a pé?,A1,conversation,"[""present simple questions""]"
Do you go to the post office by walk?,Você vai ao os correios de a pé?,A1,conversation,"[""present simple questions""]"
Do you go to the post office by subway?,Você vai ao os correios de metrô?,A1,conversation,"[""present simple questions""]"
I go to the clothing store at 9:00 a.m. on Tuesday.,Eu vou à loja de roupas às 9:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 7:00 a.m. on Sunday.,Eu vou à cafeteria às 7:00 na domingo.,A1,shopping,"[""present simple""]"
I go to work by bike.,Eu vou para o trabalho de bicicleta.,A1,transport,"[""present simple"", ""by + transport""]"
I buy milk at the hardware store.,Eu compro leite na loja de ferragens.,A1,shopping,"[""present simple""]"
I eat lunch at 3:00 p.m..,Eu faço almoço às 15:00.,A1,daily_routine,"[""present simple""]"
The bookstore is crowded tonight.,A livraria está cheio hoje à noite.,A1,shopping,"[""verb to be""]"
